	0
Alignment	SCN5A.PROT.trimmed.manual.MissingToxPruned.fa
Convergent_branches	['13,3,12,1,2,10,11,8,9,4,7,5,6', '44,38,43,36,37,41,42,39,40', '51,49,50,47,48', '64,62,63,56,61,54,55,59,60,57,58']
NbCat_Est	10
Position_to_highlight	[]
Profile categories use during estimation	C10
Tree	SCN5A.DNA.trimmed.manual.fa.raxml.MissingToxPruned.reRooted.bestTree
date	20230920_174013
gamma	False
inv_gamma	False
max_gap_allowed	5
max_gap_allowed_in_conv_leaves	5
pp_threshold_OC_V1	0.8
pp_threshold_PCOC_V1	0.8
pp_threshold_PC_V1	0.8
