	0
Alignment	SCN4A.PROT.trimmed.manual.MissingToxPruned.fa
Convergent_branches	['7,1,6,4,5,2,3', '28,24,27,25,26,22,23,16,21,17,20,18,19', '66,65,50,51,64,57,53,56,58,63,54,55,52,59,62,60,61', '93,92,87,90,91,88,89', '103,101,102,97,95,96,98,99,100']
NbCat_Est	10
Position_to_highlight	[]
Profile categories use during estimation	C10
Tree	SCN4A.DNA.trimmed.manual.fa.raxml.MissingToxPruned.reRooted.bestTree
date	20230920_173318
gamma	False
inv_gamma	False
max_gap_allowed	5
max_gap_allowed_in_conv_leaves	5
pp_threshold_OC_V1	0.8
pp_threshold_PCOC_V1	0.8
pp_threshold_PC_V1	0.8
